,State,Year,Quater,District,Transaction_count,Transaction_amount
251,andhra-pradesh,2019,2,520001.0,1828617,3823390190.0922346
252,andhra-pradesh,2019,2,517501.0,949187,1669949938.5076957
253,andhra-pradesh,2019,2,522001.0,839909,1759418775.980979
254,andhra-pradesh,2019,2,530016.0,793798,1257915825.5688603
255,andhra-pradesh,2019,2,517507.0,760335,1412863012.2407691
256,andhra-pradesh,2019,2,515001.0,567306,1282118916.2094193
257,andhra-pradesh,2019,2,530003.0,520142,718170914.395836
258,andhra-pradesh,2019,2,520010.0,490697,973983824.5472904
259,andhra-pradesh,2019,2,530017.0,480905,650710126.3382195
260,andhra-pradesh,2019,3,530001.0,2944756,6693257653.901131
261,andhra-pradesh,2019,3,520001.0,1905190,4414503365.699517
262,andhra-pradesh,2019,3,517501.0,1434209,2203932856.297208
263,andhra-pradesh,2019,3,530016.0,1196020,1658162548.562835
264,andhra-pradesh,2019,3,517507.0,1060513,1854927351.736656
265,andhra-pradesh,2019,3,522001.0,1003916,2216532548.7258
266,andhra-pradesh,2019,3,515001.0,868052,1667826831.8650486
267,andhra-pradesh,2019,3,530003.0,858005,970993081.171244
268,andhra-pradesh,2019,3,530017.0,799271,911939243.0618924
269,andhra-pradesh,2019,3,530026.0,711726,1095056835.9858122
270,andhra-pradesh,2019,4,530001.0,4185063,9160387223.4497
271,andhra-pradesh,2019,4,520001.0,2544877,5933007156.535349
272,andhra-pradesh,2019,4,517501.0,1920211,3073084029.9256625
273,andhra-pradesh,2019,4,530016.0,1591033,2295184224.145106
274,andhra-pradesh,2019,4,530026.0,1438154,2509394595.5414515
275,andhra-pradesh,2019,4,517507.0,1406768,2478459132.7705936
276,andhra-pradesh,2019,4,522001.0,1324202,2927313967.683236
277,andhra-pradesh,2019,4,515001.0,1202983,2376869516.684207
278,andhra-pradesh,2019,4,530003.0,1131832,1339103327.887921
279,andhra-pradesh,2019,4,530017.0,1084796,1266927471.3317952
280,andhra-pradesh,2020,1,530026.0,6695271,15258657486.862274
281,andhra-pradesh,2020,1,517501.0,2196548,3731404465.729061
282,andhra-pradesh,2020,1,530016.0,1661816,2593325339.0472875
283,andhra-pradesh,2020,1,517507.0,1554974,2719620696.0325623
284,andhra-pradesh,2020,1,515001.0,1346804,2696427930.675504
285,andhra-pradesh,2020,1,530003.0,1159480,1519955258.5314608
286,andhra-pradesh,2020,1,524002.0,1125194,2653339803.95633
287,andhra-pradesh,2020,1,530017.0,1104748,1412381495.9440272
288,andhra-pradesh,2020,1,520010.0,1098395,2059547223.1742208
289,andhra-pradesh,2020,1,522001.0,1058410,2575723775.04884
290,andhra-pradesh,2020,2,530026.0,4994637,12817902607.017586
291,andhra-pradesh,2020,2,517501.0,1708935,3203679955.4885287
292,andhra-pradesh,2020,2,517507.0,1575118,2854711069.441047
293,andhra-pradesh,2020,2,524002.0,1553283,3993963025.685269
294,andhra-pradesh,2020,2,530016.0,1067022,1893629834.0393307
295,andhra-pradesh,2020,2,516001.0,1066066,2616099329.332248
296,andhra-pradesh,2020,2,515001.0,1026587,2447755903.073549
297,andhra-pradesh,2020,2,518002.0,979822,2015820866.3250327
298,andhra-pradesh,2020,2,522001.0,963666,2678051229.473872
299,andhra-pradesh,2020,2,520002.0,956641,2767045048.1995325
300,andhra-pradesh,2020,3,524002.0,5194663,13718743729.17845
301,andhra-pradesh,2020,3,530026.0,4159532,10383207817.795242
302,andhra-pradesh,2020,3,517501.0,2735691,5544720473.076229
303,andhra-pradesh,2020,3,516001.0,2534360,6637577271.358326
304,andhra-pradesh,2020,3,517507.0,2306174,4594510974.325968
305,andhra-pradesh,2020,3,520002.0,2238996,6543183825.055463
306,andhra-pradesh,2020,3,530016.0,1921871,3560898943.243418
307,andhra-pradesh,2020,3,515001.0,1669413,4116758527.095812
308,andhra-pradesh,2020,3,522001.0,1625687,4701116488.838855
309,andhra-pradesh,2020,3,518002.0,1514873,3352462441.2241564
310,andhra-pradesh,2020,4,524002.0,5029692,12810644736.250324
311,andhra-pradesh,2020,4,530026.0,4235146,9849636860.464972
312,andhra-pradesh,2020,4,517501.0,4125544,7866883789.381668
313,andhra-pradesh,2020,4,517507.0,3420778,6749696775.855953
314,andhra-pradesh,2020,4,516001.0,3119905,8005247952.077286
315,andhra-pradesh,2020,4,530016.0,2981818,5591062751.070802
316,andhra-pradesh,2020,4,515001.0,2821800,6442101736.915546
317,andhra-pradesh,2020,4,518002.0,2219953,4809927717.539759
318,andhra-pradesh,2020,4,520010.0,2170458,4679865894.241622
319,andhra-pradesh,2020,4,530017.0,2027751,3252434512.586547
320,andhra-pradesh,2021,1,524002.0,7269657,16698428355.239132
321,andhra-pradesh,2021,1,530026.0,5875319,13567044097.312927
322,andhra-pradesh,2021,1,517501.0,4354325,8224302893.470669
323,andhra-pradesh,2021,1,520002.0,3591058,9183853695.4085
324,andhra-pradesh,2021,1,517507.0,3378549,6593121540.981036
325,andhra-pradesh,2021,1,530016.0,3144495,5679150412.005564
326,andhra-pradesh,2021,1,516001.0,2941623,7434205012.068323
327,andhra-pradesh,2021,1,515001.0,2815993,6225481722.602297
328,andhra-pradesh,2021,1,522001.0,2584588,6753205746.899624
329,andhra-pradesh,2021,1,520010.0,2291676,4716738889.930448
330,andhra-pradesh,2021,2,524002.0,11023032,25519404146.52658
331,andhra-pradesh,2021,2,530026.0,7850540,19042845773.20165
332,andhra-pradesh,2021,2,520002.0,5441708,14948864290.86964
333,andhra-pradesh,2021,2,517501.0,4614209,9215678010.439575
334,andhra-pradesh,2021,2,517507.0,3834825,7940105016.380435
335,andhra-pradesh,2021,2,522001.0,3427039,9832657321.439524
336,andhra-pradesh,2021,2,515001.0,3052771,7213837063.020088
337,andhra-pradesh,2021,2,530016.0,2892664,5705916880.595729
338,andhra-pradesh,2021,2,516001.0,2613562,7256266063.657529
339,andhra-pradesh,2021,2,518002.0,2553688,5906664130.524334
340,andhra-pradesh,2021,3,524002.0,10701326,23300508690.71216
341,andhra-pradesh,2021,3,530026.0,9780096,22841763578.29273
342,andhra-pradesh,2021,3,517501.0,5982442,11419848822.233982
343,andhra-pradesh,2021,3,520002.0,5320101,14633600592.216694
344,andhra-pradesh,2021,3,517507.0,4866065,9768221617.56348
345,andhra-pradesh,2021,3,522001.0,4242875,11355623168.660929
346,andhra-pradesh,2021,3,530016.0,4177023,7797927714.306906
347,andhra-pradesh,2021,3,515001.0,4040160,8752025049.046715
348,andhra-pradesh,2021,3,516001.0,3370675,8720115499.341372
349,andhra-pradesh,2021,3,520010.0,3206301,6832329071.662828
350,andhra-pradesh,2021,4,524002.0,14158439,30358274591.367683
351,andhra-pradesh,2021,4,530026.0,10216678,24428085477.49295
352,andhra-pradesh,2021,4,517501.0,7246667,13514835187.056925
353,andhra-pradesh,2021,4,517507.0,5790910,11415016234.059565
354,andhra-pradesh,2021,4,520002.0,5716025,15397268124.171196
355,andhra-pradesh,2021,4,530016.0,5252680,9484946022.822405
356,andhra-pradesh,2021,4,522001.0,4989759,13298088500.28115
357,andhra-pradesh,2021,4,515001.0,4892740,10235401678.208153
358,andhra-pradesh,2021,4,520010.0,4198904,8551737728.052567
359,andhra-pradesh,2021,4,516001.0,4058071,10324818012.146276
360,andhra-pradesh,2022,1,524002.0,16133298,35123754551.39544
361,andhra-pradesh,2022,1,530026.0,10293117,25355928765.674084
362,andhra-pradesh,2022,1,517501.0,8062447,14807178133.005922
363,andhra-pradesh,2022,1,517507.0,6660899,12913687866.526722
364,andhra-pradesh,2022,1,520002.0,6254668,16297042494.467913
